fr,en
"\C[2]Tana la Fillette :\C[0] Bonjour, tu veux nous affronter en combat duo ?","\c[2]Lass Tana:\c[0] Hello, would you like to double battle us?"
"\C[2]Tana la Fillette :\C[0] Tu es très fort\E comme \F[dresseuse§dresseur]...","\c[2]Lass Tana:\c[0] You're a strong trainer..."
"\C[2]Tana la Fillette :\C[0] On t'a battu mais pas besoin de repartir au Centre.","\c[2]Lass Tana:\c[0] We won! You don't have to return to the Pokémon Center by the way."
"\C[2]Tana la Fillette :\C[0] Viens me parler si tu souhaites nous affronter de nouveau.","\c[2]Lass Tana:\c[0] Talk to me if you want to battle again."
"\C[2]Tana la Fillette :\C[0] Tu veux encore te battre ?","\c[2]Lass Tana:\c[0] Do you want to battle again?"
"\C[2]Tana la Fillette :\C[0] On t'a encore battu mais pas besoin de repartir au Centre.","\c[2]Lass Tana:\c[0] We won again! No need to return to the Pokémon Center, we healed your Pokémon."
"\C[2]Tana la Fillette :\C[0] Pas de problème, je comprends. Reviens me voir si tu changes d'avis.","\c[2]Lass Tana:\c[0] I understand, com back if you change mind."
"\C[2]Tana la Fillette :\C[0] On en a eu assez, je crois.","\c[2]Lass Tana:\c[0] I think we got enough."
"\C[2]Estelle la Fillette :\C[0] Parle à ma soeurette si tu veux te bastonner avec nous.","\c[2]Lass Estelle:\c[0] talk to my sister if you want to battle us."
"\C[2]Estelle la Fillette :\C[0] Plus de combat, merci.","\c[2]Lass Estelle:\c[0] No more battle, thanks."
