en,fr
Would you like to discover the \c[1]Pokémon SDK\c[0] functionalities?,Souhaites-tu découvrir les fonctionnalités de \c[1]Pokémon SDK\c[0] ?
"Let's see that together!\nlMessages are displaying like they do in \c[1]Pokémon\c[0].\nlThere's only two line of text but when more are entered in the Show Message command, the system continue to show the message \c[4]line by line\c[0].",Voyons cela ensemble !\nlLes messages s'affichent comme dans \c[1]Pokémon\c[0].\nlIl n'y a que deux lignes de texte mais lorsque plusieurs lignes sont entrés dans la commande Afficher un message le système continue d'afficher le message \c[4]lignes par lignes\c[0].
"By the way, the code \\c[x] allows you to change the global color of a choice option.","Par ailleurs, la commande \\c[x] permet de définir la couleur globale du choix utilisée dans la commande \c[5]Afficher un choix\c[0] qui s'affiche de manière convenable sur \c[1]Pokémon SDK\c[0]."
Ok...,D'accord... 
\c[1]Yes,\c[1]Oui
\c[2]No,\c[2]Non
,
"Hello \c[1]\n[1]\c[0].\nlI'm the ""online"" battle setup NPC.","Bonjour \c[1]\n[1]\c[0].\nlJe suis le PNJ de configuration des combats ""online""."
"Would you like to start an ""onlin"" battle with a partner?","Désires-tu démarrer un combat ""online"" avec un partenaire ?"
"To start a battle, one of the participants should be the ""\c[1]server\c[0]"".\nlTo be the \c[1]server\c[0], you must have the UPnP option enabled on you router.","Pour réaliser un combat, il faut que l'un des participants soit le ""\c[1]serveur\c[0]"".\nlPour être le \c[1]serveur\c[0], il est impératif d'avoir \c[1]UPnP\c[0] activé sur votre box Internet."
Would you like to be the \c[1]server\c[0]?,Désirez-vous être le \c[1]serveur\c[0] ?
We couldn't connect you...,Nous n'avons pas réussi à vous connecter.
Invalid code.,Votre code est invalide...
I hope to see you soon again.,N'hésites pas à repasser.
,
"Hello, would you like to trade a Pokémon online?","Bonjour, souhaitez vous réaliser un échange de Pokémon en ligne ?"
"To start an online trade, one of the participants should be the ""\c[1]server\c[0]"".\nlTo be the \c[1]server\c[0], you must have the UPnP option enabled on you router.","Pour réaliser un échange, il faut que l'un des participants soit le ""\c[1]serveur\c[0]"".\nlPour être le \c[1]serveur\c[0], il est impératif d'avoir \c[1]UPnP\c[0] activé sur votre box Internet."
,
An error occured...\nlCheck everything is alright.,Une erreur est survenue.\nlVérifiez que tout est correct.
Would you like to battle again?,Voulez-vous redémarrer un combat ?
